,precision,recall,f1-score,support
0,0.6901159189452261,0.80898293656968,0.7448368072965165,38562.0
1,0.7475754771940646,0.6089663065628228,0.6711894652636761,35823.0
accuracy,0.7126571217315318,0.7126571217315318,0.7126571217315318,0.7126571217315318
macro avg,0.7188456980696454,0.7089746215662514,0.7080131362800963,74385.0
weighted avg,0.7177878118691777,0.7126571217315318,0.7093690552814268,74385.0
